filename,al10_drop,al10_last,al10_mean,al10_min,al10_p10,al10_slope,al10_std,al_drop,al_last,al_mean,al_min,al_p10,al_slope,al_std,mot_max,mot_mean,sf10_drop,sf10_last,sf10_mean,sf10_min,sf10_p10,sf10_slope,sf10_std,sf_drop,sf_last,sf_mean,sf_min,sf_p10,sf_slope,sf_std,worst_patch
exact-r2__3373ae9e4de4dce88d5624681a41f79ac07484f3__蘑菇力__v342__scooter__c3ace3d5__c0.mp4,0.7370471,0.7040544,0.626702,0.24262756,0.29729125,-0.01649205742970757,0.2604293,0.19212866,0.89155126,0.88248104,0.7959207,0.80108845,-0.005098043046449962,0.06631993,0.06246441602706909,0.03167497739195824,0.34033483,0.7869122,0.79644877,0.6396269,0.6595939,-0.010308506107141869,0.1193067,0.13755292,0.91664064,0.914156,0.85184205,0.8580481,-0.003979386724973388,0.047332857,0.1762370616197586
generic__c52c60db374d20e0b184bfe3476d54058ae4bf84__炸虾菇__v773__eyemask__4650b901__c0.mp4,0.72498715,0.25115624,0.50390375,0.25115624,0.31359538,-0.029787547856922687,0.24346589,0.28490663,0.70442367,0.80222005,0.70442367,0.7307788,-0.01177210063331214,0.0944255,0.19247746467590332,0.10715736448764801,0.20784652,0.80997264,0.82166404,0.76875067,0.7714046,-0.007330656169431475,0.06509735,0.1113866,0.89690113,0.9093774,0.8779724,0.87894076,-0.003967530406982056,0.035823878,0.43995240330696106
exact-r2__986d912c264847e31c8f18a969d28d6c5bfafc3a__毒蘑菇__v943__bubble__ecab9665__c0.mp4,0.73697186,0.29524115,0.54723847,0.24090302,0.25458702,-0.03436002850885921,0.24425052,0.1738832,0.8174253,0.87552285,0.8139229,0.8159899,-0.00817903564145915,0.05781563,0.06447935104370117,0.042544055730104446,0.31599283,0.6838715,0.77955186,0.66239405,0.6698822,-0.012010662393136468,0.09094845,0.113279104,0.8757514,0.9180669,0.8757514,0.8791232,-0.0053534154953221525,0.038476363,0.1905001401901245
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__汉堡菇__v0__73001002__c0.mp4,0.6156074,0.41974235,0.5817204,0.3323912,0.34438932,-0.029196785343258768,0.22413185,0.32595086,0.7341551,0.7945816,0.6451719,0.6523832,-0.014655301340012689,0.11861033,0.21874994039535522,0.11126155406236649,0.20803607,0.7627835,0.81490606,0.7414434,0.74590087,-0.008634877711416716,0.064530894,0.11322218,0.8829173,0.90584314,0.8639218,0.8653798,-0.004620116513237164,0.03567339,0.5005757808685303
exact-r1__0482215a70d10901557fd35bdf33f91d111c8bcb__粽子菇__v30__coffee__d4ee31e5__c0.mp4,0.68627423,0.5471375,0.5980046,0.28660637,0.3070859,-0.030540279307855425,0.26057416,0.16168422,0.86659354,0.8874594,0.81963086,0.8220758,-0.007412806506684664,0.060308293,0.09177428483963013,0.04647734761238098,0.24676573,0.8491655,0.83326596,0.72611463,0.7427659,-0.007459876094410998,0.071243,0.10242647,0.9389161,0.9339366,0.88584274,0.89286506,-0.0038265393303316916,0.033644095,0.13890689611434937
exact-r1__c222c0506a97b7a9e8e24f8b8a715d3bd0ecbd85__爆炸菇（爆炸前）__v1213__coffee__f5015232__c0.mp4,0.90570545,0.10175316,0.45074823,0.059091724,0.068060815,-0.0424044809779042,0.32635096,0.39299476,0.67654645,0.79404527,0.5843314,0.62171525,-0.01713483165139738,0.13582815,0.24952256679534912,0.11633449792861938,0.3057933,0.73094237,0.8030695,0.6606053,0.6667711,-0.013422868704136186,0.10420109,0.15069461,0.8625586,0.9103798,0.83385396,0.84552443,-0.006793779876863545,0.05283632,0.19192183017730713
exact-r2__91c39501adafbba839f83b6334e1af2e954a86dc__爆炸菇（爆炸前）__v905__flag__04bc6241__c0.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact-r1__5f7637850af2f16c03eff8c6fe0c95f65698bcd6__吐司菇__v596__scooter__5cdcac5c__c0.mp4,0.59913415,0.41198528,0.63740396,0.39312738,0.4056638,-0.032745244268607705,0.2277607,0.1721859,0.8305423,0.88871276,0.82295644,0.8308139,-0.00837289403549766,0.058418132,0.09829956293106079,0.060213927179574966,0.1611706,0.84172446,0.8918256,0.8310908,0.8413763,-0.006858741165149847,0.048056427,0.07731736,0.9228259,0.94892675,0.9180081,0.922423,-0.0036771566029122457,0.025572,0.5913996696472168
exact-r1__15f75abcba4174a7e03174d2ba8fa27b95e7f5ff__蘑菇力__v140__glasses__5c91f6c0__c0.mp4,0.7700894,0.29372764,0.4729018,0.20519054,0.27668482,-0.03079190293673001,0.2425708,0.2854926,0.7565975,0.799003,0.70134324,0.7113833,-0.010427675287242944,0.08810797,0.18551558256149292,0.11540655791759491,0.25475717,0.81195796,0.8263267,0.72052276,0.7670573,-0.006701281478282493,0.060999613,0.11045307,0.9022821,0.91440964,0.8773632,0.8868749,-0.0032783928124800834,0.028658956,0.49067994952201843
generic__56bc114155a57e47100a6759d7b78d0befdb0a1f__蘑菇力__v330__eyemask__3f293437__c0.mp4,0.47720474,0.8569815,0.81218314,0.5084474,0.53540367,0.0060751168977601615,0.15173948,0.11964047,0.94304675,0.9384666,0.8712528,0.8766899,0.0007999901008228824,0.03521022,0.07188773155212402,0.02526373416185379,0.15738285,0.92262757,0.90538126,0.82826924,0.84454376,-9.062850899378151e-06,0.04126152,0.054973185,0.96645695,0.96373034,0.9383515,0.94421864,-0.0001929845852343051,0.01334842,0.470208078622818
base-noprop__76415b1f87ca2c2e1e9c5810464d613f3664583d__炸虾菇__v0__cb4effac__c0.mp4,0.7495826,0.21122298,0.46039823,0.20352967,0.21101844,-0.03733244340999326,0.2729091,0.40232694,0.57554865,0.7390847,0.57554865,0.5886395,-0.020416351469609108,0.14259852,0.31523823738098145,0.17280930280685425,0.19567013,0.79772943,0.8369219,0.7612556,0.77106494,-0.006038722961316483,0.057416167,0.11805773,0.8907869,0.9118941,0.8633399,0.88038176,-0.003740473285965301,0.034270804,0.373002827167511
base-noprop__069c5cf6bb44592f056bdb81b4696b1569957312__蘑菇力__v0__043ce7ea__c0.mp4,0.076153874,0.981714,0.95999426,0.91602194,0.927715,-0.0006843152135728397,0.024827566,0.030615032,0.9844966,0.97717524,0.9572714,0.962473,-0.0004420259253309975,0.010425462,0.015643179416656494,0.00731416093185544,0.060037196,0.9817141,0.96341705,0.9321387,0.93664604,-0.000639377493161,0.020810945,0.02278155,0.9887368,0.98448944,0.9729146,0.97540253,-0.0003271621795511345,0.006736635,0.7292929887771606
exact-r2__655591f8a2e3f43e7dd87e08844065a68a1b8e56__爆炸菇（爆炸后）__v642__flag__3196f35d__c0.mp4,0.49947995,0.33034778,0.36755297,0.22880024,0.25167653,-0.0066378724580932556,0.1328901,0.25647712,0.700479,0.72929347,0.64335334,0.66989803,-0.004802228492710432,0.063755915,0.2029339075088501,0.13387872278690338,0.23703742,0.7231058,0.74784106,0.6589093,0.69696,-0.005515572464042024,0.05602224,0.12356955,0.8355255,0.8631722,0.8256306,0.83599913,-0.003552195288447046,0.032551527,0.2936731278896332
