i,mean3,s42,s101,s202,cfg
50,0.3189,0.3267,0.3169,0.3129,"{""num_leaves"": 5, ""n_estimators"": 260, ""learning_rate"": 0.02, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.99}"
51,0.2874,0.2992,0.2797,0.2832,"{""num_leaves"": 23, ""n_estimators"": 350, ""learning_rate"": 0.05, ""min_child_samples"": 130, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.99}"
52,0.3067,0.3054,0.3276,0.2872,"{""num_leaves"": 15, ""n_estimators"": 80, ""learning_rate"": 0.032, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
53,0.2815,0.2762,0.2855,0.2828,"{""num_leaves"": 15, ""n_estimators"": 350, ""learning_rate"": 0.08, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
54,0.2861,0.2952,0.2886,0.2744,"{""num_leaves"": 23, ""n_estimators"": 122, ""learning_rate"": 0.08, ""min_child_samples"": 90, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
55,0.3007,0.2895,0.3076,0.305,"{""num_leaves"": 10, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 60, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
56,0.2952,0.2957,0.2948,0.2952,"{""num_leaves"": 23, ""n_estimators"": 180, ""learning_rate"": 0.032, ""min_child_samples"": 40, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
57,0.31,0.316,0.3138,0.3001,"{""num_leaves"": 5, ""n_estimators"": 260, ""learning_rate"": 0.02, ""min_child_samples"": 60, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.99}"
58,0.3092,0.3191,0.3059,0.3027,"{""num_leaves"": 7, ""n_estimators"": 180, ""learning_rate"": 0.032, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
59,0.307,0.3143,0.3059,0.301,"{""num_leaves"": 5, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.7}"
60,0.3038,0.3059,0.3041,0.3014,"{""num_leaves"": 7, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 40, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.85}"
61,0.2989,0.2996,0.3027,0.2943,"{""num_leaves"": 10, ""n_estimators"": 350, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7}"
62,0.2954,0.2952,0.2952,0.2957,"{""num_leaves"": 23, ""n_estimators"": 350, ""learning_rate"": 0.02, ""min_child_samples"": 40, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
63,0.3019,0.3191,0.3005,0.2859,"{""num_leaves"": 7, ""n_estimators"": 350, ""learning_rate"": 0.032, ""min_child_samples"": 40, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
64,0.3069,0.3085,0.3045,0.3076,"{""num_leaves"": 7, ""n_estimators"": 260, ""learning_rate"": 0.032, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
65,0.2988,0.309,0.2957,0.2917,"{""num_leaves"": 7, ""n_estimators"": 122, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
